;acc;val_acc
0;0.51974571377;0.529275808983
1;0.52109420152;0.509244992204
2;0.513195916043;0.487673343973
3;0.510113658278;0.536209553067
4;0.521286842647;0.562403697905
5;0.519553072649;0.501540832049
6;0.520901560427;0.526194144746
7;0.521864765975;0.541602465699
8;0.53650549028;0.535439137042
9;0.52533230592;0.549306625945
10;0.527451358143;0.524653312697
11;0.536312849171;0.528505393188
12;0.534386438089;0.543913713773
13;0.530340974775;0.533898305085
14;0.5349643614;0.551617873698
15;0.534001155852;0.549306625945
16;0.531496821433;0.559322034174
17;0.530533615891;0.552388289952
;;
;;
;;
;;
;;
;;
;;